region,combination,player_games,regional_player_game_share_pct,prevalence_rank,placing,observations,mean_rating_change
oce,R2 / GM+2,328,30.45496750232126,1,4,19,-90.10526315789474
oce,R2 / GM+2,328,30.45496750232126,1,5,9,-110.77777777777777
oce,R2 / GM+2,328,30.45496750232126,1,6,2,-143.0
ru,R0 / GM+0,287,21.958684009181333,2,1,75,47.04
ru,R0 / GM+0,287,21.958684009181333,2,2,60,19.616666666666667
ru,R0 / GM+0,287,21.958684009181333,2,3,44,3.090909090909091
ru,R0 / GM+0,287,21.958684009181333,2,4,38,-29.86842105263158
ru,R0 / GM+0,287,21.958684009181333,2,5,40,-57.05
ru,R0 / GM+0,287,21.958684009181333,2,6,30,-74.73333333333333
ru,R1 / GM+0,107,8.186687069625096,5,1,35,34.628571428571426
ru,R1 / GM+0,107,8.186687069625096,5,2,22,10.590909090909092
ru,R1 / GM+0,107,8.186687069625096,5,3,17,-7.235294117647059
ru,R1 / GM+0,107,8.186687069625096,5,4,9,-19.666666666666668
ru,R1 / GM+0,107,8.186687069625096,5,5,12,-45.083333333333336
ru,R1 / GM+0,107,8.186687069625096,5,6,12,-64.16666666666667
ru,R1 / GM+1,176,13.465952563121652,4,1,85,30.48235294117647
ru,R1 / GM+1,176,13.465952563121652,4,2,36,7.805555555555555
ru,R1 / GM+1,176,13.465952563121652,4,3,29,-18.17241379310345
ru,R1 / GM+1,176,13.465952563121652,4,4,14,-43.57142857142857
ru,R1 / GM+1,176,13.465952563121652,4,5,8,-79.75
ru,R1 / GM+1,176,13.465952563121652,4,6,4,-164.0
ru,R2 / GM+1,249,19.05126243305279,3,1,112,23.428571428571427
ru,R2 / GM+1,249,19.05126243305279,3,2,51,1.8627450980392157
ru,R2 / GM+1,249,19.05126243305279,3,3,33,-21.12121212121212
ru,R2 / GM+1,249,19.05126243305279,3,4,24,-32.25
ru,R2 / GM+1,249,19.05126243305279,3,5,16,-45.8125
ru,R2 / GM+1,249,19.05126243305279,3,6,13,-71.38461538461539
ru,R2 / GM+2,323,24.71308339709258,1,1,211,43.132701421800945
ru,R2 / GM+2,323,24.71308339709258,1,2,55,0.5818181818181818
ru,R2 / GM+2,323,24.71308339709258,1,3,35,-40.4
ru,R2 / GM+2,323,24.71308339709258,1,4,14,-85.5
ru,R2 / GM+2,323,24.71308339709258,1,5,2,-88.5
ru,R2 / GM+2,323,24.71308339709258,1,6,6,-215.16666666666666
sea,R0 / GM+0,1386,30.636604774535808,1,1,304,52.69736842105263
sea,R0 / GM+0,1386,30.636604774535808,1,2,266,30.951127819548873
sea,R0 / GM+0,1386,30.636604774535808,1,3,244,6.377049180327869
sea,R0 / GM+0,1386,30.636604774535808,1,4,226,-23.039823008849556
sea,R0 / GM+0,1386,30.636604774535808,1,5,179,-47.63687150837989
sea,R0 / GM+0,1386,30.636604774535808,1,6,167,-75.8562874251497
sea,R0 / GM+1,766,16.931918656056588,2,1,165,61.30909090909091
sea,R0 / GM+1,766,16.931918656056588,2,2,151,31.728476821192054
sea,R0 / GM+1,766,16.931918656056588,2,3,135,0.8222222222222222
sea,R0 / GM+1,766,16.931918656056588,2,4,119,-30.0
sea,R0 / GM+1,766,16.931918656056588,2,5,116,-60.69827586206897
sea,R0 / GM+1,766,16.931918656056588,2,6,80,-83.1
sea,R1 / GM+0,452,9.991158267020337,6,1,100,51.92
sea,R1 / GM+0,452,9.991158267020337,6,2,81,27.012345679012345
sea,R1 / GM+0,452,9.991158267020337,6,3,72,3.6666666666666665
sea,R1 / GM+0,452,9.991158267020337,6,4,77,-17.194805194805195
sea,R1 / GM+0,452,9.991158267020337,6,5,70,-38.07142857142857
sea,R1 / GM+0,452,9.991158267020337,6,6,52,-55.25
sea,R1 / GM+1,468,10.344827586206897,5,1,135,49.32592592592592
sea,R1 / GM+1,468,10.344827586206897,5,2,64,30.28125
sea,R1 / GM+1,468,10.344827586206897,5,3,91,-1.6043956043956045
sea,R1 / GM+1,468,10.344827586206897,5,4,61,-29.016393442622952
sea,R1 / GM+1,468,10.344827586206897,5,5,64,-55.3125
